Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,38700.0,47050.0,36850.0,46150.0,40830.875,301783852.0
2019-01-31,46650.0,47550.0,44250.0,45100.0,39901.89453125,194923203.0
2019-02-28,45100.0,47000.0,43100.0,44650.0,39503.7578125,223260605.0
2019-03-31,45200.0,47600.0,43800.0,45850.0,40884.59765625,209113436.0
2019-04-30,45850.0,46150.0,40850.0,42500.0,37897.390625,271585071.0
2019-05-31,42950.0,47000.0,42500.0,47000.0,41910.046875,194668243.0
2019-06-30,47350.0,47550.0,44350.0,45350.0,40754.4375,183771791.0
2019-07-31,44900.0,45500.0,42500.0,44000.0,39541.23828125,205260271.0
2019-08-31,44850.0,49650.0,43100.0,49050.0,44079.49609375,207963296.0
2019-09-30,48900.0,52500.0,47350.0,50400.0,45620.93359375,199451656.0
2019-10-31,50600.0,53800.0,50200.0,50300.0,45530.421875,223956592.0
2019-11-30,50900.0,57300.0,49000.0,55800.0,50508.8984375,264807425.0
2019-12-31,55800.0,62800.0,54600.0,56400.0,51380.31640625,319891636.0
2020-01-31,55500.0,62000.0,54200.0,54200.0,49376.125,360007160.0
2020-02-29,54300.0,58000.0,42300.0,47750.0,43500.1796875,778330384.0
2020-03-31,47450.0,52000.0,45350.0,50000.0,45886.23046875,424101937.0
2020-04-30,50000.0,51200.0,47200.0,50700.0,46528.63671875,374264673.0
2020-05-31,50800.0,57000.0,49900.0,52800.0,48455.859375,517439261.0
2020-06-30,53400.0,60400.0,52100.0,57900.0,53491.51953125,437314531.0
2020-07-31,57800.0,59900.0,54000.0,54000.0,49888.47265625,401697954.0
2020-08-31,54100.0,61300.0,54100.0,58200.0,53768.6875,426302298.0
2020-09-30,58200.0,61500.0,56600.0,56600.0,52612.1796875,327557687.0
2020-10-31,56400.0,69500.0,56000.0,66700.0,62000.57421875,496431342.0
2020-11-30,67100.0,81300.0,67100.0,81000.0,75293.0390625,529998852.0
2020-12-31,81000.0,96800.0,80200.0,82000.0,78140.8671875,765471247.0
2021-01-31,81700.0,86400.0,81000.0,82500.0,78617.3515625,432953240.0
2021-02-28,82500.0,85300.0,80600.0,81400.0,77569.09375,387612356.0
2021-03-31,82500.0,86200.0,81500.0,81500.0,78009.5078125,372938171.0
2021-04-30,81000.0,83500.0,78400.0,80500.0,77052.3515625,352211074.0
2021-05-31,80500.0,83000.0,79600.0,80700.0,77243.78125,333099465.0
2021-06-30,80500.0,81300.0,78100.0,78500.0,75470.6640625,275886253.0
2021-07-31,79200.0,83300.0,72500.0,76700.0,73740.1171875,499862582.0
2021-08-31,76700.0,77800.0,73700.0,74100.0,71240.4609375,281233337.0
2021-09-30,73900.0,74000.0,68300.0,69800.0,67425.3984375,300193653.0
2021-10-31,70200.0,76200.0,69600.0,71300.0,68874.3828125,313117871.0
2021-11-30,72000.0,80800.0,71600.0,78300.0,75636.25,343905413.0
2021-12-31,79400.0,79800.0,71200.0,73300.0,71126.09375,267210370.0
2022-01-31,74900.0,75800.0,71300.0,71900.0,69767.6171875,161403414.0
2022-02-28,72300.0,73100.0,68700.0,69600.0,67535.8359375,244959021.0
2022-03-31,69500.0,69600.0,64500.0,67400.0,65739.140625,309880731.0
2022-04-30,66600.0,68800.0,64900.0,67400.0,65739.140625,310129252.0
2022-05-31,67400.0,67400.0,56800.0,57000.0,55595.41015625,428473209.0
2022-06-30,56900.0,62600.0,55700.0,61400.0,60253.171875,301826933.0
2022-07-31,61000.0,61900.0,58200.0,59700.0,58584.921875,251681339.0
2022-08-31,58700.0,58900.0,51800.0,53100.0,52108.19921875,288615372.0
2022-09-30,53100.0,60100.0,53100.0,59400.0,58691.046875,326537635.0
2022-10-31,59900.0,63200.0,58100.0,62200.0,61457.62890625,290682036.0
2022-11-30,63100.0,63200.0,55300.0,55300.0,54639.984375,234543029.0
2022-12-31,55500.0,65000.0,54500.0,61400.0,61046.484375,205479356.0
2023-01-31,62600.0,64000.0,60200.0,60600.0,60251.08984375,25872422.0
2023-02-28,60900.0,64000.0,59000.0,64000.0,63631.515625,273644150.0
2023-03-31,64000.0,66600.0,62300.0,65500.0,65500.0,291035766.0
2023-04-30,66000.0,72500.0,63600.0,71400.0,71400.0,269419265.0
2023-05-31,70900.0,73400.0,70000.0,72200.0,72200.0,265070208.0
2023-06-30,,,,,,
2023-07-04,73400.0,73600.0,72900.0,73000.0,73000.0,10214350.0
